,account_nm,thstrm_amount
0,유동자산,949368314163.0
1,현금및현금성자산,150396335838.0
2,금융기관예치금,17033312745.0
3,매출채권,403906698938.0
4,기타수취채권,15493588563.0
5,기타유동금융자산,12818296400.0
6,재고자산,322701066302.0
7,기타유동자산,24777819941.0
8,당기법인세자산,2241195436.0
9,비유동자산,1438097911008.0
10,금융기관예치금,7235200.0
11,기타수취채권,8764365859.0
12,기타비유동금융자산,13310665804.0
13,유형자산,982224612146.0
14,무형자산,16569380813.0
15,종속기업에 대한 투자자산,244847863623.0
16,투자부동산,107534732934.0
17,기타비유동자산,63895812677.0
18,이연법인세자산,943241952.0
19,자산총계,2387466225171.0
20,유동부채,690066631117.0
21,매입채무,161235734402.0
22,기타지급채무,84752430865.0
23,단기차입금,379372080825.0
24,유동성장기부채,28927583376.0
25,당기법인세부채,4964616449.0
26,기타유동부채,30814185200.0
27,비유동부채,240321137819.0
28,기타지급채무,14578140065.0
29,장기차입금,82635506773.0
30,순확정급여부채,3857674631.0
31,기타비유동부채,2246093724.0
32,이연법인세부채,137003722626.0
33,부채총계,930387768936.0
34,지배기업의 소유주에게 귀속되는 자본,1364005551667.0
35,자본금,20000000000.0
36,기타자본구성요소,11900024621.0
37,기타포괄손익누계액,-61224811171.0
38,이익잉여금,1393330338217.0
39,비지배지분,93072904568.0
40,자본총계,1457078456235.0
41,자본과부채총계,2387466225171.0
42,매출액,1577235683490.0
43,매출원가,1377150595676.0
44,매출총이익,200085087814.0
45,판매비와관리비,162065605074.0
46,영업이익,38019482740.0
47,기타영업외수익,17028253449.0
48,기타영업외비용,26837807112.0
49,금융수익,21282885260.0
50,금융비용,36626709678.0
51,공동기업 및 관계기업 투자 손익,-4979095732.0
52,법인세비용차감전순이익,7887008927.0
53,법인세비용,6010982316.0
54,당기순이익,1876026611.0
55,지배기업의 소유주에게 귀속되는 당기순이익(손실),3383602239.0
56,비지배지분에 귀속되는 당기순이익(손실),-1507575628.0
57,기타포괄손익,3853985165.0
58,당기손익으로 재분류될 수 있는 항목,6274941546.0
59,해외사업장환산외환차이(세후기타포괄손익),8579694423.0
60,매도가능금융자산평가손익,
61,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-2703858241.0
62,기타포괄손익관련 법인세효과,399105364.0
63,당기손익으로 재분류되지 않는항목,-2420956381.0
64,순확정급여부채의 재측정요소,-2733952543.0
65,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),-250028702.0
66,기타포괄손익-공정가치 측정 금융자산 평가손익,-128504962.0
67,기타포괄손익관련 법인세효과,691529826.0
68,총포괄손익,5730011776.0
69,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",5307406493.0
70,"총 포괄손익, 비지배지분",422605283.0
71,기본주당이익(손실),169.0
72,영업활동현금흐름,124047822571.0
73,영업에서 창출된 현금,142623973324.0
74,이자수취,2400177786.0
75,이자지급,15578660274.0
76,배당금수취,1170589453.0
77,법인세납부,6568257718.0
78,투자활동현금흐름,-52641139321.0
79,금융기관예치금의 감소,14229826550.0
80,기타수취채권의 감소,11957269850.0
81,기타금융자산의 처분,39978846535.0
82,유형자산의 처분,1586627792.0
83,무형자산의 처분,1085454542.0
84,투자부동산의 처분,
85,기타비유동금융자산의 처분,
86,정부보조금의 수취,435909092.0
87,연결범위변동으로 인한 환율변동(현금유입),
88,금융기관예치금의 증가,14995066129.0
89,기타수취채권의 증가,4376978487.0
90,기타금융자산의 취득,17249688800.0
91,관계기업에 대한 투자자산의 취득,1766136800.0
